-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/31/2022 in LST
Location: latitude  56.9474   longitude 24.1069 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 42.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX               MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN               MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE             MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M
2018,1,1,0.08,0.47,0.07,7.1,0.01,0.01,1.28,0.84,1.06,1.12,4.11,97.05,8.28,99.12,6.85,8.48,5.68,2.8,188.8
2018,1,2,0.48,0.62,0.42,6.6,0.02,0.02,1.19,0.71,0.95,1.15,4.03,96.67,0.35,99.85,7.02,8.36,5.44,2.92,201.1
2018,1,3,0.24,0.6,0.21,7.2,0.01,0.01,-0.09,-0.67,-0.38,0.15,3.64,96.05,0.29,99.61,5.6,6.38,4.94,1.44,158.9
2018,1,4,0.13,0.51,0.11,7.35,0.01,0.01,1.05,0.41,0.73,0.88,3.97,95.42,1.41,98.87,7.53,8.28,5.61,2.67,144.6
2018,1,5,0.2,0.57,0.17,7.44,0.01,0.01,1.63,1.19,1.42,1.42,4.2,96.81,4.82,98.82,7.72,8.58,6.54,2.04,169.2
2018,1,6,0.28,0.67,0.23,7.48,0.02,0.01,1.57,1.16,1.36,1.27,4.16,96.96,1.05,99.61,5.37,6.38,4.47,1.91,249.7
2018,1,7,0.71,0.77,0.58,5.89,0.03,0.02,-1.31,-3.47,-2.39,-1.36,2.9,85.88,0.2,101.45,7.09,10.66,5.67,4.99,277.3
2018,1,8,0.6,0.76,0.48,6.36,0.03,0.02,-0.38,-2.78,-1.58,-0.8,3.03,84.2,0.19,102.19,7.56,10.53,4.61,5.92,289.6
2018,1,9,0.15,0.76,0.12,7.28,0.01,0.01,0.57,0.19,0.38,0.55,3.77,97.31,0.72,102.55,5.12,6.33,2.75,3.58,273.0
2018,1,10,0.35,0.83,0.27,6.94,0.02,0.02,-3.32,-4.33,-3.82,-3.06,2.7,94.78,0.13,102.12,2.54,3.46,1.05,2.41,162.5
2018,1,11,0.2,0.82,0.15,6.58,0.01,0.01,-5.73,-6.78,-6.26,-4.93,2.21,95.99,0.1,102.16,3.49,4.91,2.5,2.41,95.0
2018,1,12,0.54,0.83,0.4,5.93,0.03,0.02,-5.27,-6.82,-6.04,-4.81,2.18,91.76,0.06,103.32,4.25,4.86,3.39,1.47,113.5
2018,1,13,0.56,0.87,0.41,5.14,0.03,0.02,-8.23,-9.18,-8.7,-7.68,1.77,96.22,0.0,103.85,3.2,4.09,2.2,1.89,152.2
2018,1,14,0.26,0.9,0.18,6.22,0.02,0.02,-9.1,-10.14,-9.62,-7.76,1.63,96.31,0.12,103.47,3.33,4.94,2.23,2.71,148.9
2018,1,15,0.39,0.91,0.27,5.86,0.02,0.02,-9.31,-10.9,-10.1,-7.87,1.55,92.53,0.08,102.46,6.48,8.59,5.07,3.52,167.3
2018,1,16,0.93,0.95,0.63,4.44,0.04,0.03,-9.42,-11.03,-10.23,-7.87,1.56,92.09,0.06,100.42,10.77,12.15,8.95,3.2,150.5
2018,1,17,0.37,0.87,0.25,5.94,0.02,0.02,-8.38,-9.63,-9.01,-6.94,1.8,94.61,2.14,98.89,6.94,10.22,2.42,7.8,126.6
2018,1,18,0.19,0.83,0.13,6.68,0.01,0.01,-5.14,-5.78,-5.46,-4.56,2.49,97.63,3.11,99.08,3.3,5.45,1.44,4.01,188.7
2018,1,19,0.37,0.94,0.24,6.5,0.02,0.02,-4.53,-5.29,-4.91,-4.41,2.56,97.13,0.02,99.58,3.99,5.15,2.88,2.27,102.2
2018,1,20,0.23,0.98,0.14,6.63,0.02,0.02,-4.85,-6.09,-5.47,-5.5,2.38,94.19,0.24,100.23,1.66,2.74,0.84,1.9,73.3
2018,1,21,0.46,1.03,0.28,6.44,0.03,0.02,-5.58,-6.37,-5.98,-6.35,2.32,96.94,0.38,100.76,2.0,3.63,0.17,3.46,332.1
2018,1,22,0.27,1.08,0.16,6.42,0.02,0.02,-6.49,-7.1,-6.79,-5.92,2.18,98.86,1.3,101.17,5.9,7.74,3.29,4.45,225.8
2018,1,23,0.3,1.1,0.18,6.37,0.02,0.02,-7.61,-8.47,-8.04,-6.62,1.94,98.34,0.56,101.88,5.71,6.96,4.67,2.29,219.7
2018,1,24,0.25,1.0,0.14,6.34,0.02,0.01,-5.36,-6.12,-5.74,-4.49,2.43,97.7,5.04,101.1,9.93,12.38,7.38,5.0,187.8
