-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/31/2022 in LST
Location: latitude  59.4324   longitude 24.7441 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 27.07 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX               MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN               MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE             MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M
2018,1,1,0.1,0.29,0.14,7.09,0.01,0.01,-0.61,-1.41,-1.01,0.58,3.52,95.53,2.88,99.12,7.32,10.27,6.21,4.06,168.1
2018,1,2,0.17,0.32,0.23,7.2,0.01,0.01,2.9,2.43,2.66,2.37,4.57,96.74,1.43,99.38,10.12,11.65,8.79,2.86,216.0
2018,1,3,0.11,0.32,0.16,7.29,0.01,0.01,0.62,-0.12,0.25,1.27,3.8,94.99,0.59,99.78,6.93,9.54,4.98,4.56,171.5
2018,1,4,0.15,0.32,0.2,6.93,0.01,0.01,0.02,-0.78,-0.38,0.56,3.63,94.74,0.94,99.33,7.29,8.97,5.33,3.64,129.1
2018,1,5,0.15,0.32,0.19,7.16,0.01,0.01,1.66,0.95,1.31,1.79,4.13,95.04,4.38,98.94,8.63,9.45,6.4,3.05,158.6
2018,1,6,0.14,0.35,0.18,7.15,0.01,0.01,1.01,-0.14,0.44,1.17,3.81,92.05,2.04,99.26,7.43,9.61,4.15,5.46,256.9
2018,1,7,0.3,0.45,0.37,6.46,0.01,0.01,-0.63,-3.96,-2.3,-0.07,2.81,78.22,0.54,100.91,11.54,14.84,8.45,6.39,282.1
2018,1,8,0.39,0.47,0.47,6.27,0.02,0.01,-0.78,-4.15,-2.47,-0.55,2.74,78.16,0.06,101.82,9.98,15.01,4.68,10.33,305.8
2018,1,9,0.22,0.44,0.26,6.96,0.01,0.01,0.94,0.2,0.57,0.83,3.78,94.85,0.14,102.33,6.43,8.06,4.4,3.66,281.6
2018,1,10,0.17,0.47,0.2,7.31,0.01,0.01,-1.26,-1.97,-1.61,-0.09,3.23,96.01,0.3,102.24,2.99,4.24,2.07,2.17,272.6
2018,1,11,0.2,0.49,0.23,7.13,0.01,0.01,-1.98,-3.21,-2.6,-0.59,2.93,92.79,0.36,102.54,4.05,5.18,2.41,2.77,81.2
2018,1,12,0.28,0.54,0.3,6.27,0.01,0.01,-6.09,-7.47,-6.78,-4.04,2.08,94.49,0.04,103.72,4.37,4.66,3.78,0.88,155.2
2018,1,13,0.35,0.54,0.38,6.39,0.02,0.01,-5.42,-6.86,-6.14,-2.79,2.17,93.4,0.26,104.02,3.61,4.63,2.77,1.86,211.3
2018,1,14,0.3,0.56,0.31,6.53,0.01,0.01,-6.98,-8.02,-7.5,-3.58,1.98,95.98,0.17,103.65,4.53,5.97,3.73,2.24,176.5
2018,1,15,0.19,0.59,0.19,6.46,0.01,0.01,-9.34,-9.92,-9.63,-4.96,1.72,99.95,0.27,102.58,7.21,9.25,5.7,3.55,169.6
2018,1,16,0.53,0.63,0.52,5.43,0.02,0.02,-10.02,-10.64,-10.33,-5.35,1.64,99.77,0.09,100.71,12.43,13.4,9.78,3.62,155.1
2018,1,17,0.33,0.53,0.31,5.9,0.02,0.01,-8.15,-9.0,-8.58,-4.51,1.91,97.76,0.9,99.52,9.6,12.47,5.88,6.59,134.8
2018,1,18,0.26,0.58,0.24,6.46,0.02,0.01,-5.34,-6.31,-5.83,-3.0,2.36,96.59,1.99,99.33,4.43,5.78,2.8,2.98,144.0
2018,1,19,0.21,0.62,0.19,6.95,0.01,0.01,-4.55,-5.71,-5.13,-3.63,2.47,94.99,0.72,99.96,2.6,3.49,1.54,1.95,147.2
2018,1,20,0.23,0.65,0.2,6.93,0.01,0.01,-2.77,-4.24,-3.51,-3.53,2.76,91.45,0.47,100.48,3.2,3.83,2.24,1.59,21.4
