-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/31/2022 in LST
Location: latitude  54.691   longitude 25.2823 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 152.46 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX               MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN               MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE             MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M
2018,1,1,0.14,0.66,0.1,7.15,0.01,0.01,0.88,0.63,0.76,0.56,4.07,98.22,4.49,98.35,4.74,6.8,3.03,3.77,196.0
2018,1,2,0.28,0.79,0.2,7.0,0.02,0.01,0.03,-0.22,-0.1,-0.06,3.79,98.21,0.88,98.88,2.76,3.3,2.02,1.28,190.2
2018,1,3,0.24,0.77,0.17,7.09,0.01,0.01,0.1,-0.23,-0.06,-0.19,3.81,97.8,0.64,98.38,3.3,5.09,1.95,3.14,163.5
2018,1,4,0.21,0.71,0.14,7.3,0.01,0.01,1.03,0.72,0.88,0.71,4.11,97.68,0.59,97.79,5.52,6.01,5.11,0.9,172.5
2018,1,5,0.3,0.76,0.2,7.41,0.02,0.01,0.82,0.52,0.67,0.62,4.04,97.75,2.33,97.97,5.64,7.0,4.66,2.34,176.7
2018,1,6,0.36,0.83,0.24,7.41,0.02,0.01,1.53,1.41,1.47,1.23,4.27,98.88,1.24,98.72,4.19,4.93,3.07,1.86,237.3
2018,1,7,0.62,0.96,0.4,6.16,0.03,0.02,-1.53,-2.08,-1.8,-1.85,3.29,96.49,0.44,100.4,3.56,4.74,2.6,2.14,298.7
2018,1,8,0.5,0.94,0.32,5.75,0.02,0.02,-3.02,-3.75,-3.39,-3.21,2.84,96.24,0.16,101.25,4.79,6.19,3.06,3.13,274.3
2018,1,9,0.3,0.98,0.19,6.85,0.02,0.02,-2.16,-2.69,-2.43,-2.41,3.07,97.34,0.33,101.48,3.12,4.2,1.14,3.06,271.8
2018,1,10,0.77,1.01,0.48,6.12,0.03,0.03,-5.27,-5.97,-5.62,-5.5,2.38,96.99,0.05,100.73,2.6,3.16,1.17,1.99,128.0
2018,1,11,0.33,1.04,0.2,6.5,0.02,0.02,-7.65,-8.44,-8.05,-7.77,1.94,97.05,0.02,100.56,2.94,3.72,2.47,1.25,90.7
2018,1,12,0.3,1.02,0.18,6.45,0.02,0.02,-6.38,-7.75,-7.06,-6.7,2.05,92.85,0.14,101.65,3.77,4.61,2.82,1.79,82.9
2018,1,13,1.01,1.08,0.6,5.18,0.04,0.03,-9.51,-10.83,-10.17,-10.03,1.55,93.69,0.0,102.35,2.96,3.59,2.03,1.56,115.8
2018,1,14,0.4,1.1,0.23,6.35,0.02,0.02,-10.51,-11.74,-11.13,-10.69,1.43,93.66,0.12,102.03,2.55,3.31,1.87,1.44,136.0
2018,1,15,0.78,1.1,0.45,5.42,0.04,0.03,-10.0,-12.0,-11.0,-10.16,1.4,87.87,0.09,101.22,4.46,6.09,3.13,2.96,165.2
2018,1,16,1.15,1.16,0.65,4.41,0.04,0.04,-9.84,-11.56,-10.7,-10.04,1.49,90.07,0.07,99.27,7.75,8.74,6.3,2.44,147.9
2018,1,17,0.36,1.02,0.2,6.33,0.02,0.02,-8.16,-9.17,-8.67,-8.32,1.89,96.01,5.2,97.3,4.78,7.95,0.51,7.44,125.8
2018,1,18,0.34,1.04,0.18,6.83,0.02,0.02,-4.9,-5.18,-5.04,-5.28,2.64,99.18,0.85,97.98,3.33,5.12,2.19,2.93,211.0
2018,1,19,0.22,0.97,0.11,6.62,0.01,0.01,-4.29,-4.95,-4.62,-4.54,2.67,97.85,4.18,97.79,4.62,6.67,1.97,4.7,85.5
2018,1,20,0.42,1.18,0.22,6.61,0.02,0.02,-5.17,-5.75,-5.46,-5.83,2.47,98.6,2.53,98.78,1.87,2.34,0.58,1.76,326.1
2018,1,21,0.48,1.26,0.24,6.58,0.03,0.02,-7.06,-7.65,-7.36,-9.54,2.1,97.86,0.08,99.37,1.36,1.91,0.4,1.51,46.5
2018,1,22,0.35,1.29,0.18,6.26,0.02,0.02,-9.93,-10.49,-10.21,-10.48,1.64,99.01,0.27,100.09,2.01,2.73,1.4,1.33,221.9
2018,1,23,0.77,1.34,0.38,5.72,0.03,0.03,-12.48,-12.97,-12.73,-13.43,1.29,97.94,0.1,100.77,2.41,3.43,1.68,1.75,202.6
2018,1,24,0.25,1.18,0.12,6.19,0.02,0.02,-7.25,-7.87,-7.56,-7.32,2.14,98.55,1.33,100.43,5.61,7.15,3.26,3.89,190.2
2018,1,25,0.3,1.03,0.14,6.92,0.02,0.02,0.29,0.0,0.15,0.03,3.81,97.84,1.04,99.81,5.36,6.92,3.39,3.53,195.4
2018,1,26,0.57,1.08,0.26,6.51,0.03,0.03,-0.85,-1.51,-1.18,-1.01,3.41,95.89,3.04,100.13,4.56,5.96,3.43,2.53,180.0
2018,1,27,0.33,1.2,0.15,7.14,0.02,0.02,-1.39,-1.77,-1.58,-1.53,3.33,98.24,1.87,100.68,3.06,3.65,2.11,1.54,226.4
2018,1,28,0.19,1.16,0.08,7.09,0.01,0.01,-0.44,-0.78,-0.61,-0.66,3.6,97.93,7.24,99.92,5.4,7.73,3.27,4.46,214.8
2018,1,29,0.34,1.33,0.14,7.24,0.02,0.02,1.32,1.01,1.17,0.81,4.15,97.64,7.98,98.77,5.88,7.8,3.79,4.01,259.4
2018,1,30,0.6,1.49,0.25,7.21,0.03,0.04,0.5,-0.33,0.09,0.1,3.8,94.23,2.18,98.33,8.34,10.1,7.09,3.01,284.8
2018,1,31,0.7,1.51,0.29,6.9,0.04,0.04,-1.07,-1.79,-1.43,-1.4,3.36,95.81,0.26,99.42,3.88,6.73,2.03,4.7,254.7
2018,2,1,0.26,1.26,0.11,6.72,0.02,0.02,-0.29,-0.72,-0.5,-0.49,3.67,97.09,8.67,98.36,4.63,6.85,1.41,5.44,175.7
2018,2,2,0.71,1.39,0.28,6.69,0.04,0.05,-0.94,-1.4,-1.17,-1.88,3.48,97.41,4.96,98.66,1.53,2.32,0.14,2.18,288.3
2018,2,3,0.7,1.61,0.27,6.9,0.04,0.05,-2.75,-3.32,-3.04,-3.27,3.02,97.61,0.32,98.83,2.04,3.32,1.1,2.22,122.6
2018,2,4,0.92,1.71,0.35,6.63,0.05,0.07,-6.99,-8.09,-7.54,-7.55,2.08,94.73,0.05,99.47,4.34,5.22,3.41,1.81,12.5
2018,2,5,1.19,1.88,0.44,5.81,0.06,0.07,-9.95,-10.79,-10.37,-10.47,1.61,96.23,1.04,100.23,3.5,4.27,2.67,1.6,325.5
2018,2,6,0.99,1.81,0.35,6.57,0.06,0.07,-7.04,-7.82,-7.43,-7.33,2.09,97.62,1.45,99.71,3.75,5.5,2.49,3.01,255.9
2018,2,7,1.81,1.87,0.64,5.38,0.08,0.08,-7.53,-8.6,-8.07,-7.97,1.93,95.59,0.06,100.29,3.86,5.34,2.47,2.87,192.4
2018,2,8,0.87,1.7,0.3,6.73,0.05,0.06,-6.31,-6.92,-6.62,-6.69,2.25,98.42,1.19,100.03,2.49,3.1,1.73,1.37,74.5
